,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallet Address:,0x749Ad5e67F52e9885B33f6F6625574ddDaDb52eE,0xc6Ccecb3B0C1474294Af5C3579A888B9F947cF97,0x85F2DF88a273a632C44f48CC6F94469500CED42b,0x677Ffe1Ee372e4f6aF8b6583B0012289940e2324,0x0E8b32C39AF8CC81f2471810eddFd5A3d3EF0dce,0x74aD20a33B37cCA9f5Bd150BB4ce49cF50d0b5eb,0x6EAbb5FaaEEF7a14ABfDE529F1dB80384f405E17,0x27A818372670575914B50ff02580335e458fc696,0xFab398B2cbB51Cf2d00D8819f57853dafC721CeF,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xf484D78306E068BfE682829304344cf15FBedB49,0x7ea226f9fBAbFf6263D6937878CCa7867f2bB091,0x2C94c9590c5A4A691B46a0D6276DC90468d9f635,0x949f482347B02b25Df153942D84501Efb4698CB1,0x8c405dD569d597720c04e3c1577cE3841e206cE5,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xE23Aa13d53A728ECa4B1ae59Ae008Eef89c79f51,0x9A3CcbF4f2Fa1899a2165A367AcE6532Db592646,0xB913A66828e3c5E9e817876a3059F3baE77ECaFe,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xB35f6cbbd5f0b1eC1cbb50c5bf2620fd5f2918D4,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x5D6977aC3E7c8139f1C607308292ee4Cc4773865,0x815070A584d52384A1CdbFf844a38ae657e93aC8,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xb3C5839c98530efe921e3f35A0CF1bDf03EAA08d,0xB9d3F7cc1B916e5dA7537d28964fFaBbCf921A87,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xDe3258C1C45a557F4924d1E4e3d0A4E5341607Ee,0xCDA47d2cdA26ce48f48eDAB86CE0Ab52C153Ba7F,0xF6bC475378c2DE2465Ef86403A8492C3A89EF64C,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x6320d43FE9939efAD4d48bfCdC63C06BAFc2FE3d
,Cliff Date:,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024
,End Date:,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026
,Number of Tokens:,"732,073","11,734","9,452","50,566","6,193","6,275","55,003","550,196","76,924","84,746","38,462","84,746","38,462","38,462","28,683","19,231","19,231","19,231","9,452","19,231","7,823","19,231","9,452","9,452","11,734","9,452","9,452","10,104",978,"5,541","18,579","2,282",978,"9,126","1,304"
Installment,Date ,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens
1,"January 31, 2024","20,335",326,263,"1,405",172,174,"1,528","15,283","2,137","2,354","1,068","2,354","1,068","1,068",797,534,534,534,263,534,217,534,263,263,326,263,263,281,27,154,516,63,27,254,36
2,"February 29, 2024","40,671",652,525,"2,809",344,349,"3,056","30,566","4,274","4,708","2,137","4,708","2,137","2,137","1,594","1,068","1,068","1,068",525,"1,068",435,"1,068",525,525,652,525,525,561,54,308,"1,032",127,54,507,72
3,"March 31, 2024","61,006",978,788,"4,214",516,523,"4,584","45,850","6,410","7,062","3,205","7,062","3,205","3,205","2,390","1,603","1,603","1,603",788,"1,603",652,"1,603",788,788,978,788,788,842,82,462,"1,548",190,82,761,109
4,"April 30, 2024","81,341","1,304","1,050","5,618",688,697,"6,111","61,133","8,547","9,416","4,274","9,416","4,274","4,274","3,187","2,137","2,137","2,137","1,050","2,137",869,"2,137","1,050","1,050","1,304","1,050","1,050","1,123",109,616,"2,064",254,109,"1,014",145
5,"May 31, 2024","101,677","1,630","1,313","7,023",860,872,"7,639","76,416","10,684","11,770","5,342","11,770","5,342","5,342","3,984","2,671","2,671","2,671","1,313","2,671","1,087","2,671","1,313","1,313","1,630","1,313","1,313","1,403",136,770,"2,580",317,136,"1,268",181
6,"June 30, 2024","122,012","1,956","1,575","8,428","1,032","1,046","9,167","91,699","12,821","14,124","6,410","14,124","6,410","6,410","4,781","3,205","3,205","3,205","1,575","3,205","1,304","3,205","1,575","1,575","1,956","1,575","1,575","1,684",163,924,"3,097",380,163,"1,521",217
