,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallet Address:,0x749Ad5e67F52e9885B33f6F6625574ddDaDb52eE,0xc6Ccecb3B0C1474294Af5C3579A888B9F947cF97,0x85F2DF88a273a632C44f48CC6F94469500CED42b,0x677Ffe1Ee372e4f6aF8b6583B0012289940e2324,0x0E8b32C39AF8CC81f2471810eddFd5A3d3EF0dce,0x74aD20a33B37cCA9f5Bd150BB4ce49cF50d0b5eb,0x6EAbb5FaaEEF7a14ABfDE529F1dB80384f405E17,0x27A818372670575914B50ff02580335e458fc696,0xFab398B2cbB51Cf2d00D8819f57853dafC721CeF,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xf484D78306E068BfE682829304344cf15FBedB49,0x7ea226f9fBAbFf6263D6937878CCa7867f2bB091,0x2C94c9590c5A4A691B46a0D6276DC90468d9f635,0x949f482347B02b25Df153942D84501Efb4698CB1,0x8c405dD569d597720c04e3c1577cE3841e206cE5,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xE23Aa13d53A728ECa4B1ae59Ae008Eef89c79f51,0x9A3CcbF4f2Fa1899a2165A367AcE6532Db592646,0xB913A66828e3c5E9e817876a3059F3baE77ECaFe,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xB35f6cbbd5f0b1eC1cbb50c5bf2620fd5f2918D4,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x5D6977aC3E7c8139f1C607308292ee4Cc4773865,0x815070A584d52384A1CdbFf844a38ae657e93aC8,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xb3C5839c98530efe921e3f35A0CF1bDf03EAA08d,0xB9d3F7cc1B916e5dA7537d28964fFaBbCf921A87,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xDe3258C1C45a557F4924d1E4e3d0A4E5341607Ee,0xCDA47d2cdA26ce48f48eDAB86CE0Ab52C153Ba7F,0xF6bC475378c2DE2465Ef86403A8492C3A89EF64C,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x6320d43FE9939efAD4d48bfCdC63C06BAFc2FE3d,0x669265141b4561528D27caC09282CE928A4896fa,0xE72185a9f4Ce3500d6dC7CCDCfC64cf66D823bE8,0xE72185a9f4Ce3500d6dC7CCDCfC64cf66D823bE8,0xcd25c40dCfB47f6eE3112734393D25c9e21A3AA7,0xcd25c40dCfB47f6eE3112734393D25c9e21A3AA7,0x652afcD1EB1A90A622dC4033eE7630BdD3ad3E51,0xCa81a029aCa50Fa3e25Ea2f26E10152d903fB4B5,0xF891855Ddb613A9D56b6EAeA7495950B374181e2,0x7d5Ff8caE8eF8d15357Cfd4A291E830C0F875F1B,0x3A0B303FF6B7250ddb659AdD318c8e74f3e8104d,0x4073F392794218FA3195cce45eaaC9A77066c640,0xFB1E9918FBA266797e1191597b64ED6Be1EE2728,0x7b7048820FB71Db6F086c5365E2948ce39E73304,0xD754d49Ce331669C4f15B5e1b8E72D2d9Fc51B28,0xd3819BEd61861d281d45E79988f95d4371D25e2c,0x86C614FD180855f35160eD34552Ad4E99b8A2B52,0x997137e1c2A1A8A78CE2D17796b870eFbC7572D2
,Cliff Date:,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,06/01/2024,09/01/2024,06/01/2024
,End Date:,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,5/31/2028,8/31/2028,5/31/2028
,Number of Tokens:,"732,073","11,734","9,452","50,566","6,193","6,275","55,003","550,196","76,924","84,746","38,462","84,746","38,462","38,462","28,683","19,231","19,231","19,231","9,452","19,231","7,823","19,231","9,452","9,452","11,734","9,452","9,452","10,104",978,"5,541","18,579","2,282",978,"9,126","1,304","202,086","150,587","34,224","18,905","6,193","37,484","25,098","33,572","9,126","4,563","325,945","1,303,780","46,284","23,142","46,284","10,104","198,782"
Installment,Date ,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens
1,"June 30, 2024","15,252",244,197,"1,053",129,131,"1,146","11,462","1,603","1,766",801,"1,766",801,801,598,401,401,401,197,401,163,401,197,197,244,197,197,211,20,115,387,48,20,190,27,"2,715","1,830",197,216,36,419,230,284,57,28,"6,778","27,113",705,348,706,0,"4,141"
2,"July 31, 2024","30,503",489,394,"2,107",258,261,"2,292","22,925","3,205","3,531","1,603","3,531","1,603","1,603","1,195",801,801,801,394,801,326,801,394,394,489,394,394,421,41,231,774,95,41,380,54,"5,608","3,792",425,449,77,870,482,598,122,61,"13,581","54,324","1,451",716,"1,452",0,"8,283"
3,"August 31, 2024","45,755",733,591,"3,160",387,392,"3,438","34,387","4,808","5,297","2,404","5,297","2,404","2,404","1,793","1,202","1,202","1,202",591,"1,202",489,"1,202",591,591,733,591,591,632,61,346,"1,161",143,61,570,82,"8,680","5,888",682,698,123,"1,355",757,942,195,97,"20,372","81,486","2,237","1,105","2,239",0,"12,424"
4,"September 30, 2024","61,006",978,788,"4,214",516,523,"4,584","45,850","6,410","7,062","3,205","7,062","3,205","3,205","2,390","1,603","1,603","1,603",788,"1,603",652,"1,603",788,788,978,788,788,842,82,462,"1,548",190,82,761,109,"11,919","8,108",968,963,175,"1,871","1,052","1,314",275,138,"27,162","108,648","3,062","1,513","3,065",53,"16,565"
5,"October 31, 2024","76,258","1,222",985,"5,267",645,654,"5,729","57,312","8,013","8,828","4,006","8,828","4,006","4,006","2,988","2,003","2,003","2,003",985,"2,003",815,"2,003",985,985,"1,222",985,985,"1,053",102,577,"1,935",238,102,951,136,"15,345","10,468","1,286","1,245",233,"2,421","1,371","1,716",364,182,"33,953","135,811","3,930","1,942","3,934",114,"20,707"
6,"November 30, 2024","91,509","1,467","1,182","6,321",774,784,"6,875","68,775","9,616","10,593","4,808","10,593","4,808","4,808","3,585","2,404","2,404","2,404","1,182","2,404",978,"2,404","1,182","1,182","1,467","1,182","1,182","1,263",122,693,"2,322",285,122,"1,141",163,"18,933","12,948","1,631","1,543",295,"3,002","1,709","2,146",461,230,"40,743","162,973","4,835","2,390","4,839",184,"24,848"
