,,,,,
,Wallet Address:,0x652afcD1EB1A90A622dC4033eE7630BdD3ad3E51,0xF891855Ddb613A9D56b6EAeA7495950B374181e2,0x9dc660b87ab8b8229a43623b3e32beb75cf47cea,0x997137e1c2A1A8A78CE2D17796b870eFbC7572D2
,Cliff Date:,06/01/2024,06/01/2024,12/01/2024,06/01/2024
,End Date:,5/31/2028,5/31/2028,11/30/2028,5/31/2028
,Number of Tokens:,"17,766","10,187","10,000","231,885"
Installment,Date,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens
1,"June 30, 2024",370,212,0,"4,831"
2,"July 31, 2024",740,424,0,"9,662"
3,"August 31, 2024","1,110",637,0,"14,493"
4,"September 30, 2024","1,481",849,0,"19,324"
5,"October 31, 2024","1,851","1,061",0,"24,155"
6,"November 30, 2024","2,221","1,273",0,"28,986"
7,"December 31, 2024","2,591","1,486",52,"33,817"
8,"January 31, 2025","2,961","1,698",113,"38,648"
9,"February 28, 2025","3,331","1,910",182,"43,479"
10,"March 31, 2025","3,701","2,122",260,"48,310"
11,"April 30, 2025","4,071","2,335",347,"53,141"
12,"May 31, 2025","4,442","2,547",443,"57,972"
13,"June 30, 2025","4,812","2,759",547,"62,802"
14,"July 31, 2025","5,182","2,971",660,"67,633"
15,"August 31, 2025","5,552","3,183",781,"72,464"
16,"September 30, 2025","5,922","3,396",911,"77,295"
17,"October 31, 2025","6,292","3,608","1,050","82,126"
18,"November 30, 2025","6,662","3,820","1,198","86,957"
19,"December 31, 2025","7,032","4,032","1,354","91,788"
20,"January 31, 2026","7,403","4,245","1,519","96,619"
21,"February 28, 2026","7,773","4,457","1,693","101,450"
22,"March 31, 2026","8,143","4,669","1,875","106,281"
23,"April 30, 2026","8,513","4,881","2,066","111,112"
24,"May 31, 2026","8,883","5,094","2,266","115,943"
25,"June 30, 2026","9,253","5,306","2,474","120,774"
26,"July 31, 2026","9,623","5,518","2,691","125,605"
27,"August 31, 2026","9,993","5,730","2,917","130,436"
28,"September 30, 2026","10,364","5,942","3,151","135,267"
29,"October 31, 2026","10,734","6,155","3,394","140,098"
30,"November 30, 2026","11,104","6,367","3,646","144,929"
31,"December 31, 2026","11,474","6,579","3,906","149,760"
32,"January 31, 2027","11,844","6,791","4,175","154,591"
33,"February 28, 2027","12,214","7,004","4,453","159,422"
34,"March 31, 2027","12,584","7,216","4,740","164,253"
35,"April 30, 2027","12,954","7,428","5,035","169,084"
36,"May 31, 2027","13,325","7,640","5,339","173,915"
37,"June 30, 2027","13,695","7,852","5,651","178,745"
38,"July 31, 2027","14,065","8,065","5,972","183,576"
39,"August 31, 2027","14,435","8,277","6,302","188,407"
40,"September 30, 2027","14,805","8,489","6,641","193,238"
41,"October 31, 2027","15,175","8,701","6,988","198,069"
42,"November 30, 2027","15,545","8,914","7,344","202,900"
43,"December 31, 2027","15,915","9,126","7,708","207,731"
44,"January 31, 2028","16,286","9,338","7,917","212,562"
45,"February 29, 2028","16,656","9,550","8,125","217,393"
46,"March 31, 2028","17,026","9,763","8,333","222,224"
47,"April 30, 2028","17,396","9,975","8,542","227,055"
48,"May 31, 2028","17,766","10,187","8,750","231,885"
49,"June 30, 2028",,,"8,958",
50,"July 31, 2028",,,"9,167",
51,"August 31, 2028",,,"9,375",
52,"September 30, 2028",,,"9,583",
53,"October 31, 2028",,,"9,792",
54,"November 30, 2028",,,"10,000",
