,,,
,Wallet Address:,0x3A0B303FF6B7250ddb659AdD318c8e74f3e8104d,0x997137e1c2A1A8A78CE2D17796b870eFbC7572D2
,Cliff Date:,06/01/2024,06/01/2024
,End Date:,5/31/2028,5/31/2028
,Number of Tokens:,"1,271","235,177"
Installment,Date,Unlocked Tokens,Unlocked Tokens
1,"June 30, 2024",26,"4,833"
2,"July 31, 2024",53,"9,670"
3,"August 31, 2024",79,"14,511"
4,"September 30, 2024",106,"19,356"
5,"October 31, 2024",132,"24,205"
6,"November 30, 2024",159,"29,057"
7,"December 31, 2024",185,"33,914"
8,"January 31, 2025",212,"38,775"
9,"February 28, 2025",238,"43,639"
10,"March 31, 2025",265,"48,507"
11,"April 30, 2025",291,"53,380"
12,"May 31, 2025",318,"58,257"
13,"June 30, 2025",344,"63,137"
14,"July 31, 2025",371,"68,022"
15,"August 31, 2025",397,"72,910"
16,"September 30, 2025",424,"77,802"
17,"October 31, 2025",450,"82,699"
18,"November 30, 2025",477,"87,599"
19,"December 31, 2025",503,"92,504"
20,"January 31, 2026",530,"97,413"
21,"February 28, 2026",556,"102,322"
22,"March 31, 2026",583,"107,239"
23,"April 30, 2026",609,"112,158"
24,"May 31, 2026",636,"117,083"
25,"June 30, 2026",662,"122,010"
26,"July 31, 2026",688,"126,943"
27,"August 31, 2026",715,"131,880"
28,"September 30, 2026",741,"136,819"
29,"October 31, 2026",768,"141,764"
30,"November 30, 2026",794,"146,711"
31,"December 31, 2026",821,"151,664"
32,"January 31, 2027",847,"156,621"
33,"February 28, 2027",874,"161,576"
34,"March 31, 2027",900,"166,540"
35,"April 30, 2027",927,"171,484"
36,"May 31, 2027",953,"176,384"
37,"June 30, 2027",980,"181,283"
38,"July 31, 2027","1,006","186,183"
39,"August 31, 2027","1,033","191,082"
40,"September 30, 2027","1,059","195,982"
41,"October 31, 2027","1,086","200,881"
42,"November 30, 2027","1,112","205,781"
43,"December 31, 2027","1,139","210,681"
44,"January 31, 2028","1,165","215,580"
45,"February 29, 2028","1,192","220,480"
46,"March 31, 2028","1,218","225,379"
47,"April 30, 2028","1,245","230,279"
48,"May 31, 2028","1,271","235,177"
